,Unnamed: 0,Course_Name,Course_Description,Course_Soft_Skills,Course_Hard_Skills
72,72,"Credit, bubbles and the macroeconomy","emphasize the implications of credit market imperfections. We discuss both theoretical models and empirical evidence. In the second half, we consider the market equilibrium. We study how changes in one market spill over to the others using the general equilibrium model. We begin with capital misallocation due to credit constraints and study its effects on the labor market and productivity. We then introduce the overlapping generations framework, in which markets in different periods are inter-connected. We analyze fiscal policies and economic growth.",,"knowledge and understanding of credit market imperfections, theoretical models, empirical evidence, market equilibrium, general equilibrium model, capital misallocation, labor market, productivity, overlapping generations framework, fiscal policies, and economic growth."
73,73,Health economics,"applies the tools of economic analysis to issues about the organization, delivery, and financing of health care. Topics include (but are not restricted to) the following: demand for health, for health care, and for health insurance; supply of health-care services---physicians, hospitals, drugs, medical technology; and health-care policies, systems, and reforms",,"Economic analysis, demand for health, health care, and health insurance, supply of health care services including physicians, hospitals, drugs, and medical technology, healthcare policies, systems, and reforms."
74,74,Big data economics,"ntroduces students to fundamental ideas, important methods and popular techniques in big data analysis and machine learning. Combining statistical theory, computational tools, and hands-on experience with real data, this course will provide students with a solid basis for handling big data in economics, finance, and management",,"Fundamental ideas, important methods and popular techniques in big data analysis and machine learning, Statistical theory, computational tools, hands-on experience with real data, handling big data in economics, finance, and management."
75,75,Topics in macroeconomics,"provides students with an up-to-date account of the theory and practice of modern macroeconomics. The following areas that have shaped modern macroeconomic research will be covered: real business cycle theory, endogenous growth theory, and new Keynesian theories of labour markets, asset markets and sticky prices. Other selected topics on fiscal and monetary policy will also be discussed",,"Theory and practice of modern macroeconomics, real business cycle theory, endogenous growth theory, new Keynesian theories of labor markets, asset markets and sticky prices, fiscal and monetary policy."
76,76,Environmental economics,"about environmental economics with an emphasis on policies that seek to mitigate the impacts of environmental problems. We will connect microeconomic theories with real world environmental policy applications. The course begins with an overview of microeconomic theories that are particularly relevant to environmental regulations; then it moves on to the key topics in environmental economics and policies. Particular issues include market failure, externality, common goods and public goods, valuation of non-market goods, environmental regulations, renewable and nonrenewable resource management, air pollution, water pollution, and economics of climate change.",,"Environmental economics, mitigation of environmental problems, microeconomic theories, environmental policy applications, market failure, externality, common goods and public goods, valuation of non-market goods, environmental regulations, renewable and nonrenewable resource management, air pollution, water pollution, and economics of climate change."
77,77,Data analytics in digital economy,"explore the main features of the digital economy, and a number of related e-competition and regulatory issues. The digital technologies create or enable radically new business opportunities and shape the ways they operate. Such revolution also reshaped the market structures and their dynamics of traditional businesses like publishing, entertainment, and banking. Therefore, it is crucial to understand how the Internet, sharing economy, social networks, Big Data, and mobile communications can work and create values in the digital society",,"Understanding the main features of the digital economy and related e-competition and regulatory issues, knowledge of digital technologies and their impact on business, understanding of market structures and dynamics of traditional businesses, understanding of the Internet, sharing economy, social networks, Big Data, and mobile communications and how they create value in the digital society."
78,78,Behavioural economics,"provides students an overview of research in behavioral economics, which incorporates insights from psychology on human behavior, with and without social interactions, into economic analysis. The topics we will cover include: decision making under uncertainty, prospect theory, reference dependence, intertemporal choice, social preferences, and bounded rationality. We will relate theories to applications including consumer choice, saving behavior, procrastination, labor supply, finance, and policy making.",,"Behavioral economics research, integration of insights from psychology into economic analysis, decision making under uncertainty, prospect theory, reference dependence, intertemporal choice, social preferences, bounded rationality, theories to applications including consumer choice, saving behavior, procrastination, labor supply, finance, and policy-making."
79,79,Economics of education and human capital,"Human capital accounts for more than half the world’s savings, wealth, and income. This course introduces students to foundational and current literature in three broad areas: First, we consider the demand for human capital by parents, children, and adults, the financing of investment, and portfolio choice with human capital. Second, we consider the production function for human capital, and the role of environmental, household, and classroom inputs. Third, we study the supply side for classroom inputs in particular, with a focus on teachers and markets for education",,"Knowledge and understanding of human capital, demand for human capital by parents, children, and adults, financing of investment, portfolio choice with human capital, production function for human capital, role of environmental, household, and classroom inputs, supply side for classroom inputs, teachers, markets for education."
80,80,Capital theory,"General equilibrium theory involving time under certainty conditions. The concepts of full information, stationary state, and steady state. Assumptions about information costs, transaction costs and complete markets. Fisher's separation theorem. Theory of consumption over discrete and continuous time. Theory of production over discrete and continuous time. Determination of general equilibrium over time",,"Knowledge and understanding of general equilibrium theory under certainty conditions, full information, stationary state, and steady state, assumptions about information costs, transaction costs and complete markets, Fisher's separation theorem, theory of consumption over discrete and continuous time, theory of production over discrete and continuous time, determination of general equilibrium over time."
81,81,Inequality and growth,"focuses on the relationship between inequality and growth, which consists of three major parts: data, model, and policy. We will start with empirical facts on inequality issues in economies over the world, in particular, U.S., China, and Hong Kong. Then we will revisit two-period Solow growth model so that we can build up the infinite-horizon Solow growth model and heterogeneous agent model to set up our framework to learn inequality and growth. Finally, we will use the model and empirical techniques we learn to provide policy guidance that can be used to deal with inequality issues and stimulate economic growth",,"data analysis, modeling, economic analysis, policy analysis."
82,82,The political economy of globalization,"This course provides a theoretical framework to analyze the connection between the political economy and globalization. It covers topics such as the recent rise in protectionism, the refugee crisis, multinational firm tax avoidance, interest group politics and lobbying and many more. Combining economic theories and real-world case studies, this course will equip you with the skills to analyze new issues in global political economy and new policies related to globalization.",,"theoretical analysis, economic analysis, case study analysis, analytical skills, policy analysis."
83,83,Economic forecasting,"introduces basic techniques in forecasting economic structural relationships. Topics include smoothing, filters, ARIMA models, unit roots and stochastic trends, vector autoregressions, cointegration and error correction, regime switching, volatility, diagnostics, model selection, forecast evaluation and combination.",,"forecasting techniques, smoothing techniques, statistical analysis, time series analysis, ARIMA modeling, unit root analysis, cointegration analysis, error correction, problem diagnosis, model selection, forecasting evaluation."
84,84,Causal inference,"introduces students to fundamental ideas and important methods in causal inference. Combining statistical theory, scientific principles of research design, and hands-on experience with real data, this course will provide students with a solid basis for being good consumers and practitioners of empirical research in economics and other quantitative social sciences. The course will draw on applications from development, labor, and business economics with particular attention to policy evaluation",being good consumers and practitioners of empirical research.,"statistical theory, research design, data analysis, empirical research skills, policy evaluation."
85,85,Reading course,"consists of supervised reading and written work. Candidates may specialize in one topic under the supervision of faculty members. Examples of topics are: the problem of social cost, investment in human capital, general equilibrium theory, empirical methods in international trade, international monetary relations, theories of saving and the East Asian economies, and current economic problems of Hong Kong",,"independent research, specialized knowledge in a particular topic, writing skills."
86,86,Senior seminar in economics and finance,"applies core theoretical knowledge in economics and finance acquired throughout the undergraduate curriculum to research a real issue. The student may select and match core theoretical concepts with significant applications in the world, which could be of local, regional and global relevance, both contemporary and historical. The selection will include an application of these concepts to either the making of public policy or the strategic management of the firm.",,"research skills, theoretical knowledge in economics and finance, critical thinking, problem solving, strategic analysis."
87,87,China’s business and marketing,"aims to equip students with an in-depth understanding and first-hand experience of the current business environment in China, with the focus in two of the foremost international business centers in Asia: Hong Kong and Shanghai. Students will have close contact with guest speakers from senior management of leading companies in the two cities",,"understanding of business environment in China, experience in international business, networking, knowledge of the Asian market."
88,88,"Creativity, innovation and entrepreneurship in China I","provides students with a comprehensive study of economics, innovation, and entrepreneurship in the context of business practices in the Greater Bay Area in China. It aims to build up students’ understanding of basic knowledge about innovation and entrepreneurship, the importance of innovation in promoting economic development in China, as well as the economic rationales of entrepreneurial activities related to innovation.",,"economic analysis, knowledge of innovation and entrepreneurship, understanding of business practices, knowledge of the Greater Bay Area."
89,89,"Creativity, innovation and entrepreneurship in China II","provide students with a comprehensive study of economics, innovation, and entrepreneurship in the context of business practices in the Greater Bay Area in China (Guangdong Province, Hong Kong and Macau). It aims at developing students’ understanding of the strategy and challenge of the entrepreneurial process in innovation, the practices of innovation and strategic interrelationship among Hong Kong and other cities in Greater Bay Area, as well as the global vision for the future of technological economics",,"comprehensive study of economics, innovation, and entrepreneurship, understanding of the entrepreneurial process, knowledge of business practices in the Greater Bay Area, strategic analysis, knowledge of technological economics."
90,90,Case studies in corporate finance,structured around the most important financial decisions made at the firm level in an uncertain environment. For example: what capital structure to adopt (financing decision); how to value a firm or investment project (investment/valuation decision); how to raise capital in the equity market (IPO decision); what mechanisms to put in place to discipline managers and the largest shareholder (corporate governance decision); whether to return cash and how to return cash to investors (dividend/share repurchase decision); and whether a firm should engage in mergers and acquisitions (M&A) activities and how to do an M&A right (M&A decision).,,"financial analysis, decision making, risk assessment, capital structure analysis, investment valuation, equity market analysis, corporate governance analysis, cash flow management and analysis, M&A analysis."
91,91,Advanced corporate finance,"The objective of this course is to introduce the theoretical literature on the microeconomics of corporate finance in a unified framework. Topics covered include: corporate financing and agency costs, corporate financing under asymmetric information, liquidity and risk management, corporate finance and product markets, passive and active monitoring in corporate finance, lending relationships and investor activism, control rights and corporate governance, and takeovers",,"theoretical understanding of microeconomics of corporate finance, corporate financing, agency costs, asymmetric information, liquidity and risk management, corporate finance and product markets, passive and active monitoring in corporate finance, lending relationships, investor activism, control rights, corporate governance, and takeovers."
92,92,Investments and portfolio analysis,introduces students to the fundamental principles of investments and to major issues currently of concern to all investors. The concepts and skills developed from this course enable students to conduct a sophisticated assessment of current issues and debates covered by both the popular media as well as more-specialized finance journals,"Sophisticated assessment of current issues and debates, critical thinking, and analytical skills.","Familiarity with fundamental principles of investment, ability to conduct sophisticated assessments of current issues and debates, analytical and critical thinking skills."
93,93,Derivatives,The major objective of this course is to promote an in-depth understanding of basic derivatives. Derivatives have become a popular hedging and investment tool over the last several decades and derivatives concepts are required for every advanced finance topic,,"In-depth understanding of basic derivatives, knowledge of derivatives concepts, and familiarity with the use of derivatives as a hedging and investment tool."
94,94,Financial markets and institutions,"designed to introduce and analyze the structure, operations and functions of the financial system. The course starts with an introduction to financial markets’ role in the economy, and the determination of interest rates and valuation of cash flows. The course then discusses various financial markets including money markets, bond markets, mortgage markets, stock markets and derivatives markets.",,"Understanding of the structure, operations, and functions of the financial system, knowledge of financial markets' role in the economy, determination of interest rates, and valuation of cash flows. Familiarity with various financial markets such as money markets, bond markets, mortgage markets, stock markets, and derivatives markets."
95,95,Management of commercial banks,"introduces basic bank management techniques that include: asset and liability management, liquidity and reserve management, credit analysis, loan pricing and off-balance-sheet banking. Regulatory issues of commercial banks are also discussed.",,"Knowledge of basic bank management techniques such as asset and liability management, liquidity and reserve management, credit analysis, loan pricing, and off-balance-sheet banking; understanding of regulatory issues concerning commercial banks."
96,96,International banking,"Nature of international banking. Comparison with domestic banking. Jurisdiction and regulatory framework: the Basel Concordat. Xeno-currency markets and international banking. International financing techniques: loansyndication, project finance, NIFs, RUFs etc. Risk exposure and control: sovereign risk, country risk, exchange risk, interest risk and credit risk. Management and strategies of international banks. “National treatment” and financial centres",,"Understanding of the nature of international banking and comparison with domestic banking, knowledge of the jurisdiction and regulatory framework concerning international banking, familiarity with xeno-currency markets, international financing techniques such as loansyndication, project finance, NIFs, RUFs, and ability to understand and manage sovereign risk, country risk, exchange risk, interest risk, credit risk. Understanding of management and strategies of international banks, knowledge of ""national treatment"" and financial centers."
97,97,"Banking – strategies, operations and controls","designed to provide and equip students with solid theoretical and practical knowledge of the key processes of a bank in an end-to-end manner, allowing students to develop an integrated and holistic understanding of bank management, looking into their strategies, operations and control.","Integrated and holistic understanding, critical thinking, and analytical skills.","Knowledge of key processes of bank management, familiarity with theoretical and practical aspects of bank management, ability to develop an integrated and holistic understanding of bank management, and understanding of bank strategies, operations, and control."
98,98,Insurance,theory and practice: cover the theories underlying each major type of insurance products; the characteristics of the contractual agreements pertaining to insurance products; the structure of the insurance industry and its impact on the pricing of insurance products; the operation of insurance companies and the need for government regulations of the industry,,"Knowledge of theories underlying major types of insurance products, understanding of contractual agreements pertaining to insurance products, familiarity with the structure of the insurance industry and its impact on insurance product pricing, understanding of the operation of insurance companies and the need for government regulations of the insurance industry."
99,99,Lending and credit in private banking and corporate banking (1),"covers the key elements of lending and provision of credit facility in banking, including corporate clients and high net worth individual (“HNWI”) clients. Lending and leveraging is a key component of a banking relationship and an important source of revenues for banks. Lending and leverage involves risks to the banks and to the clients. The business of lending and the provision of other credit facilities is intrinsically linked to the management of risk for the bank.",,"Knowledge of key elements of lending and credit facilities, understanding of lending and leverage as a significant revenue source for banks, familiarity with risks involved in lending and leverage to both banks and clients, understanding of the link between lending and credit facility provision and risk management for banks."
100,100,Lending and credit in private banking and corporate banking (2),"discuss the bank’s credit process including purpose of the credit, types of loan/credit facility and loan structure; credit analysis and risks evaluation, financial analysis and cashflow projections; security and collateral analysis, lending margins, credit monitoring and remedial management.",,"Understanding of the bank's credit process, including the purpose of credit, types of loans, credit facility and loan structure, credit analysis, risk evaluation, financial analysis, cash flow projections, security, and collateral analysis, lending margins, credit monitoring, and remedial management."
101,101,Real estate finance,"An introduction to real estate economics, mortgage markets, real estate auctions in Hong Kong; pre-sale market in Hong Kong; pricing of land and residential/commercial properties; mortgage-backed securities and mortgage companies.",,"Real estate economics, knowledge of mortgage markets, understanding of real estate auctions, knowledge of pre-sale market in Hong Kong, expertise in pricing of land and residential/commercial properties, familiarity with mortgage-backed securities and mortgage companies."
102,102,International financial management,"studies corporate financial decisions in an international setting. We start with basic concepts of international financial markets. These concepts include the global foreign exchange market and its operations, the international capital market, the global bond market, the international equity markets, and cross-border portfolio investment",,"Understanding and knowledge of basic concepts of international financial markets, international foreign exchange market and its operations, international capital market, global bond market, international equity markets, and cross-border portfolio investment in corporate financial decisions in an international setting."
103,103,ESG in business and finance,"consider the relationship of corporates to societal objectives such as environmental protection and equitable working opportunities, which may not be within their direct operational mandates. Students will be introduced to key environmental and social challenges, such as climate change, pollution, and social inequality, and evaluate the “value” that preserving nature brings to society and to corporates.","Evaluation and critical thinking of corporate social responsibility towards environmental protection and equitable working opportunities, introduction to social and environmental challenges like climate change, pollution, and social inequality, and understanding the ""value"" of preserving nature brings to society and corporates.","Understanding the relationship between corporates and societal objectives, environmental protection, and equitable working opportunities, evaluating environmental and social challenges like climate change, pollution, and social inequality, and assessing the value of preserving nature to society and corporates."
104,104,Financial programming and databases,"provides undergraduate students a foundation in managing and analyzing financial datasets. Data analysis is a very important skill for the students to master. The first part of the course focuses on building skills – data manipulation using programming languages. The second part introduces various financial databases. Through practice on real-world financial datasets, students will learn methods used to warehouse and retrieve data for statistical computing",,"Managing and analyzing financial datasets, data manipulation using programming languages, introduction to various financial databases, practicing on real-world financial datasets to learn methods used to warehouse and retrieve data for statistical computing."
105,105,Investment banking,"valuation, LBOs, and M&A: is designed to develop a solid understanding of commonly discussed and applied issues in investment banking, in particular valuation, leveraged buyouts (LBOs), and mergers and acquisitions (M&As). The topics covered in this course include the M&A process, methods of valuing a target firm, valuing synergies, the form of payment and financing, assessing highly levered transactions (i.e. LBOs), governance in M&A, and M&A negotiations. M&A cases will be used in discussing these topics. By going through analyses and discussions of real-life M&A",,"Understanding commonly discussed and applied issues in investment banking, including valuation, leveraged buyouts (LBOs), and mergers and acquisitions (M&As), knowledge of M&A process, methods of valuing a target firm and synergies, understanding of form of payment and financing, assessing highly levered transactions, governance in M&A, and M&A negotiations, analyzing M&A cases to understand these concepts."
106,106,Entrepreneurial finance,"cover basic information and knowledge about project choice and financing, idea implementation, and decision-making in start-up businesses. The majority of such information and knowledge is delivered based on the case method (with supplementary lecture notes when appropriate). It is noteworthy that we will take two roles interchangeably throughout this course: the entrepreneurs who seek funding and the venture capitalists who seek good projects",,"Familiarity with project choice and financing, idea implementation, and decision-making in start-up businesses, understanding of the case method as a means of delivering information, and interchangeably taking on the roles of entrepreneurs and venture capitalists in the start-up industry."
107,107,China’s financial system and markets,"examine and analyse the financial markets in China. The purpose is to help students form a comprehensive picture of current state of financial institutions, instruments, and regulations in the Chinese financial market. Particular emphasis is placed on the role of the financial system on the development and reform of economy in China, as well as the impact of Chinese government on the efficiency of the market. The difference between the financial market in China and the markets in the mature economies will also be examined, which helps students understand the rationales of the development and arrangements of the financial market in China. Debates of current financial issues will also be discussed.",,"Analyzing and examining the Chinese financial market, understanding of the current state of financial institutions, instruments, and regulations in China, emphasis on the role of the financial system in development and reform of the Chinese economy and the impact of the Chinese government on the efficiency of the market, difference between the Chinese financial market and mature economies, understanding development and arrangements of the financial market in China, and analyzing debates on current financial issues."
108,108,Green finance and impact investing,"introduces the recent development in the financial market on green finance such as green bonds. Impact investing such as activism will be analyzed. The rising importance and implementation of environmental, social and governance (ESG) for investment will be studied. Other related topics are accounting, certification, and reporting of green projects",,"Understanding recent developments in the financial market such as green finance and green bonds, analyzing impact investing such as activism and its implications, studying the importance and implementation of ESG for investment, knowledge of accounting, certification, and reporting related to green projects."
109,109,Credit risk,"Credit derivatives are the biggest financial innovations in the last 20 years. Credit risk analysis and management are of great interest to investment banks, commercial banks, traders, regulators, and rating agencies. This course provides an introduction as well as an in-depth understanding of credit risk measurement and credit derivatives such as credit default swaps",,"Understanding of credit derivatives as financial innovations, knowledge and ability to analyze credit risk and manage it effectively, knowledge of credit risk measurement and credit derivatives such as credit default swaps."
110,110,Fixed income securities,This course is designed to provide a comprehensive introduction to fixed income securities by covering the following broad topical areas: (a) the institutions and operations involved in the fixed income securities markets; (b) the valuation and hedging of fixed income securities; (c) the term structure of interest rate; (d) the use and application of interest rate derivatives in the areas of risk management and financial engineering; and (e) the interest rate models,,"Understanding of the institutions and operations involved in the fixed income securities markets, the ability to value and hedge fixed income securities, knowledge of the term structure of interest rates, ability to use and apply interest rate derivatives in risk management and financial engineering, understanding of interest rate models."
111,111,Interest rate models,"ntroduces various state-to-the-art techniques in modeling fixed income securities. In particular, the course starts with the discount factor approach in pricing all kinds of bonds. Then we focus on modeling the discount factors. Models are introduced in two major parts. First, the course emphasizes discrete-time models based on binomial trees in order to understand the economic insight of the risk-neutral pricing. Second, extensions to continuous-time models are also discussed in detail. Calibration and implementation of the models will be studied",,"Modeling fixed income securities, discount factor approach, pricing bonds, modeling discount factors, discrete-time models, binomial trees, risk-neutral pricing, continuous-time models, calibration, implementation."
112,112,Alternative investments,"provides an overview of various forms of alternative investments that include hedge funds, managed futures, private equity, venture capital, real estate, commodities and foreign exchange. The purpose of the course is to give students a good understanding of the operation of these investments; the benefits and pitfalls associated with them; and strategies to integrate them into the context of portfolio management",,"Overview of alternative investments, Hedge funds, Managed futures, Private equity, Venture capital, Real estate, Commodities, Foreign exchange, Understanding investment operation, Benefits, Pitfalls, Portfolio management strategies."
113,113,Equity valuation and investment management,"covers the practical applications and issues of financial analysis, valuation, and investment of equities. Topics include, but not limited to, the basic analysis of financial statements; valuation models-e.g. DCF, free cash flows and other methods commonly used in the market; risk and return analysis; equity research and stock selection process; portfolio construction; active vs passive and other styles of investment; performance evaluation and appraisal",,"Financial analysis, valuation, Investment of equities, Basic analysis of financial statements, Valuation models, Discounted Cash Flow (DCF) analysis, Cash flow modeling, Risk and return analysis, Equity research, Stock selection process, Portfolio construction, Active vs passive investment, Performance evaluation, Appraisal."
114,114,Hedge funds,"strategies, business management, and institutions: an in-depth study of the hedge fund industry. We will study hedge fund trading strategies, the business model of hedge funds, hedge fund investors, as well as the institutional and regulatory framework in which hedge funds operate.",,"Trading strategies, Business management, Hedge fund industry, Business model of hedge funds, Hedge fund investors, Institutional framework, Regulatory framework."
115,115,Private banking and wealth management,"an introduction to the fundamentals of private banking and wealth management for High Net Worth (HNW) individuals. Topics covered include, but are not limited to, an overview of the Asian private banking and wealth management industry with particular emphasis on the Greater China market; portfolio management, optimization and asset allocation; investment advisory and credit risk functions; tax and wealth planning tools for mobility, retirement and estate, including trusts, foundations, and insurance; behavioral finance; client relationship management; family office; business ethics and professional standards; and laws, regulations and compliance issues.",,"Private banking, Wealth management, High Net Worth individuals (HNW), Overview of Asian private banking and wealth management industry, Greater China market analysis, Portfolio management, Asset allocation, Investment advisory, Credit risk functions, Tax planning, Wealth planning, Trusts, Foundations, Insurance, Behavioral finance, Client relationship management, Family office, Business ethics, Professional standards, Laws, Regulations, Compliance issues."
116,116,Current issues in asset management and private banking industr,"seeks to cover current development and current issues in the asset management and private banking industry. The issues identified may be related to new business opportunities, new risk areas, new development affecting the AMPB market/industry",,"Asset management, Private banking, Identifying current developments, Identifying current issues, Business opportunities, Risk areas, Market/Industry analysis."
117,117,"Investment consulting, institutional business and family office","aims to introduce the investment consulting industry and provides students with practical understanding of the industry in its relevance to the asset management and private wealth industry, particular in relation to institutional investors and family office",,"Investment consulting industry, Asset management, Private wealth industry, Institutional investors, Family office, Practical understanding, Industry relevance."
118,118,Venture capital and private equity,"covers the fundamentals of Venture Capital (VC) and Private Equity (PE) as well as the key elements within the ecosystem. VC and PE is one of the asset classes of alternative investments and is essential for financial investors to evaluate and understand the risk and return of this asset class. The course would be beneficial to students who are interested in the financial sector and in particular in investment in an alternative asset class including VC and PE in Hong Kong and the region. Hong Kong is the second largest Private Equity hub in Asia (outside of China which is a closed market, HK is the number one PE hub in the region indeed).",,"Venture capital (VC), Private equity (PE), Alternative investments, Risk analysis, Return analysis, Financial sector, Investment in alternative asset classes, Investment evaluation, Hong Kong PE hub."
119,119,Risk management,"covers the advanced techniques for corporate financial risk management. Topics include (i) the identification and measurement of financial risk, (ii) risk management for equity portfolios, (iii) risk management for fixed income securities portfolios, (iv) risk management for derivative securities portfolios, (v) risk management for financial institutions, (vi) Riskmetrics, (vii) credit risk management, and (viii) the recent development of risk management tools and techniques in financial markets",,"Corporate risk management, Financial risk identification, Financial risk measurement, Equity portfolio risk management, Fixed income securities portfolio risk management, Derivative securities portfolio risk management, Financial institution risk management, Riskmetrics, Credit risk management, Development of risk management tools and techniques, Financial market analysis."
120,120,Mathematical finance,"provides students with the necessary mathematical techniques used in continuous-time finance. It covers stochastic calculus, partial differential equation and applied probability. After taking this course, one should be able to fully understand no-arbitrage theory, the Black-Scholes equation, risk-neutral probability and martingales. The purpose of this course is to lay down a solid mathematical foundation for students to learn more advanced topics in financial engineering, such as exotic options, interest rate derivatives and credit risk models",,"Mathematical techniques, Continuous-time finance, Stochastic calculus, Partial differential equations, Applied probability, No-arbitrage theory, Black-Scholes equation, Risk-neutral probability, Martingales, Financial engineering, Exotic options, Interest rate derivatives, Credit risk models."
121,121,Spreadsheet financial modeling,"l focus on developing skills in translating financial models into spreadsheets and programs using Microsoft Excel and Visual Basic for Applications (VBA), examining popular financial and investment models, integrating spreadsheet functionalities, programming, and interfaces in financial applications, and hands-on experience in designing, coding, and debugging computer programs",,"translating financial models into spreadsheets and programs using Microsoft Excel and Visual Basic for Applications (VBA), examining popular financial and investment models, integrating spreadsheet functionalities, programming, and interfaces in financial applications, designing, coding, and debugging computer programs."
122,122,"Regulatory, operational and valuation issues in finance institutions","e examines with students’ practical issues involving financial institutions, with a focus on banks. These include how banks shapes and, in the meantime, are bounded by regulations the regulatory environment. In turn, how the macro regulatory environment then transformed into operational practices in financial markets. The course will also go into how these issues are incorporated into models for analysis and valuation purposes",,"analyzing and valuating financial institutions (with a focus on banks), understanding regulations and macro regulatory environment, transforming the macro regulatory environment into operational practices in financial markets, incorporating issues into models for analysis and valuation purposes."
123,123,Financial practicum,The main purpose of this course is to help students relate economic or finance theories to the practical experience from their employment. They will be supervised and assessed jointly by a faculty member and a supervisor/mentor from the participating company.,"ability to relate economic or finance theories to practical experience from employment, ability to work with faculty members and supervisors/mentors from participating companies, ability to receive feedback and assessments.",
124,124,Behavioral finance,"Behavioral finance is the application of psychology to financial behavior. We will explore various behavioral frames, biases and heuristics and examine their implications on the aggregate market, individual investors, cross-sections of average returns and corporate decision making in a world of limited arbitrage",,"understanding behavioral finance, exploring behavioral frames, biases, and heuristics, analyzing the implications of behavioral finance on the aggregate market, individual investors, cross-sections of average returns, and corporate decision making."
125,125,Structured finance and securitization,"designed to provide a broad, comprehensive introduction to structured finance and securitization. The following topics will be covered: (a) building blocks of structured finance, (b) mechanics of securitization and various securitized products, especially CDOs (collateralized debt obligations), (c) leasing, (d) project financing, and (e) fundamentals of structured finance modeling using Microsoft Excel.",,"understanding structured finance and securitization, knowledge of building blocks of structured finance and mechanics of securitization and various securitized products (especially CDOs), understanding of leasing and project financing, knowledge of structured finance modeling using Microsoft Excel."
126,126,Financial regulations and compliance,"ethics, professional standards, and code of conducts and best practices, know your clients, sales and suitability, investor protection, anti-money laundering, timely and accurate communications, independence and objectivity, fair dealing, compliance issues and compliance handling, relevant local rules and regulations, and international best practices for investment professionals. Selected cases will be used for discussion in class","knowledge of ethics, professional standards, code of conducts, and best practices, ability to know clients, ability to follow sales and suitability guidelines, ability to protect investors, ability to communicate timely and accurately, ability to remain independent and objective, ability to ensure fair dealing, ability to handle compliance issues, knowledge of relevant local rules and regulations, familiarity with international best practices for investment professionals, ability to discuss cases in class.",
127,127,Behavioural and sociological finance,"covers current developments in finance. Possible topics include security trading and market making, venture analysis, financial contracting, investment strategies for local markets and other current issues in finance.",,"Understanding current developments in finance, knowledge of security trading and market making, understanding venture analysis and financial contracting, knowledge of investment strategies for local markets, ability to analyze and discuss current issues in finance."
128,128,Managing money in asset management and private banking,"a Capstone course and students are expected to apply the core investment, valuation and portfolio theories, analytical / advisory tools and asset management knowledge, including risk management and regulatory compliance, into analyzing asset and private wealth management business cases","ability to apply investment, valuation, portfolio theories, analytical/advisory tools, asset management knowledge, risk management, and regulatory compliance to analyzing asset and private wealth management business cases.","applying core investment, valuation, and portfolio theories, applying analytical/advisory tools and asset management knowledge, applying risk management and regulatory compliance to analyzing asset and private wealth management business cases."
129,129,Quantitative risk management,"focuses mainly on market risk, the risk of unexpected changes in prices and rates. The first part of the course introduces basic concepts in risk management and builds the toolkit for measuring risk quantitatively. The second part of the course is devoted to studying the widely accepted Value at Risk (VAR) systems, including calculations, back testing and flaws of VAR. The course also touches on other aspects of financial risk such as liquidity risk, credit risk and operational risk",,"understanding market risk and its consequences, knowledge of risk management, ability to measure risk quantitatively, understanding Value at Risk (VAR) systems including calculations, backtesting, and flaws of VAR, knowledge of other financial risk aspects such as liquidity risk, credit risk, and operational risk"
130,130,Text analytics and natural language processing in finance and fintech,"covers the main elements of natural language processing (NLP), text analytics, and text mining, providing students with a foundation in collecting, managing, and analyzing textual data with financial and economic applications in mind, such as FinTech.",,"understanding the main elements of natural language processing (NLP), text analytics, and text mining, ability to collect and manage textual data with financial and economic applications in mind, ability to analyze textual data using NLP and text mining techniques, knowledge of FinTech applications of NLP and text analytics."
131,131,Financial engineering,"Financial engineering is the process of constructing new instruments by using bonds and individual derivatives such as forwards, calls, puts, and exotic options as basic building blocks. The process involves designing, pricing and managing the instruments. In this course, we anatomize a few popular structural products. We then discuss how to price these products by studying the price of the embedded exotic options",,"financial engineering, constructing new instruments, bonds, derivatives (forwards, calls, puts, exotic options), designing, pricing, managing, anatomizing structural products, studying prices of embedded exotic options."
132,132,Big data analytics applied toward quantitative finance,"provides students a foundation in managing and analyzing large datasets for applications in finance. The first part of the course focuses on building skills – data custodianship and performance computing. Through practice on real-world financial datasets, students will learn methods used to warehouse and retrieve data for high-performance statistical computing",,"managing, analyzing large datasets, data custodianship, performance computing, real-world financial datasets, warehouse data, retrieve data, high-performance statistical computing."
133,133,Principles of technology entrepreneurship,"The introductory course will go through the fundamental aspects of launching a technology entrepreneurial venture to complement the research and development activities in science and technology. It will expose students to common practices in venture development process such as opportunity identification andverification, to technology transfer and commercialization. Topics on legal subjects, e.g. intellectual properties & patent laws, and simple financing & strategic approach in the business plan will be covered",,"launching a technology venture, research and development, venture development process, opportunity identification, opportunity verification, technology transfer, commercialization, legal subjects (intellectual properties & patent laws), simple financing, strategic approach in business plan."
134,134,Business programming,"Business programming is an introductory course that teaches you how to write computer programs using Python to collect, analyze, and interpret data from real-world applications. This course is designed for absolute beginners and will build the skills from scratch. Therefore, no prior knowledge or programming experience is required",,"writing computer programs, using Python, collecting, analyzing, interpreting data, real-world applications."
